SeriesNumber,Filename,Name,Description,Gender,Attributes,UUID,Hash
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,"hair: bald, eyes: yellow, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: agility, weakness: none",e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,ccfd3acbcdfc2121c7105501b318b0b190f26df27d21368b0c718518f4f97fe9
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,"hair: bald, eyes: blue, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: none, weakness: none",dfbb4163-df24-4d54-b74c-6218a68df8bd,f9e05c67866a658a3b6bc77bcbe5824042162591fbd82baf6a00524dcf492dc0
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,"hair: bald, eyes: ash, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: creativity, weakness: none ",dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,19103e0be6d78d066239da4b1d66e23693018074c9ef4365a223af658ff92f9d
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,"hair: brown double bun, eyes: none, teeth: none, clothing: animal print, accessories: glasses, expression: none, strength: hustler, weakness: none",59524227-dc52-407c-8cca-e9e8c5fb3018,b401eeb991fe60d6641eb94c716b6eb6eb0b8d25aa673a4967870373f54f1ad0
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,"hair: bald, eyes: black, teeth: none, clothing; yellow and purple agbada, accessories: mask, expression: none strength: none, weakness: none",808f7007-6552-4efa-bd13-4b7c337b102b,2b8ae143e176e64146f5c2a0f6664f8bdeb611d2df5aefb383f048e31b8be229
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,"hair: bald, eyes: blue, teeth: none, clothing: orange, accessories: mask, expression: none, strength: intelligence, weakness: none",ba3edda7-8940-4ca4-97ba-826398d5909f,c0852d28ebbc2fd335c404ca622c9d31513f7aec564da5f678520317190d3991
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,"hair: braids, eyes: none, teeth: none, clothing: black top, accessories: glasses, expression: none, strength: none, weakness: untruthfulness",78da7aeb-8352-4e25-89ac-dc48b5984089,4b0db9af498a4dbd5b5e15893c84375c4c94a325d82a2e90003f2d9c4462e631
19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking girls heart. It's a lifestyle.,male,"hair: bald, eyes: white, teeth: none, clothing: purple and yellow agbada, accessories: mask, expression: none, strength: none, weakness: promiscuity",53b46bd7-a537-402b-b249-0b4074a8faae,8b1c1afac9581daaee3f437cbfc699e0ce706b3b3dd62e02c5b27a0684496373
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,"hair: bald, eyes: black, teeth: none, clothing: green and purple agbada, accessories: mask, expression: none, strength:none, weakness:slow to understand things",4adb6781-1614-424e-8f77-fe59ffca2209,e216b3e1d880bc8c3fd4096540c20b68b4bc75478863d20f80eb05955f10f7b5
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,"hair: none, eyes: black, teeth: none, clothings: purple and yellow kaftan, accessories: cap, expression: happy, strength: strong, weakness: no limitation",770f817a-9d9a-4772-9a91-e66dd9d03470,c07ce958c1ed07da1516faa4eeb364092d0228315d3365db0519bba542ec1458
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,"hair: none, eyes: black, teeth: none, clothings: yellow and black ankara, accessories: cap, expression: straight face, strength: funny, weakness: little physique",78810fa6-a7ef-4d83-bf57-caf49db4ee69,72fd9917d08e96115506e64981e33937a10a13f1ef4d308b9f11dbabdc3059c5
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,"hair: none, eyes: brown, teeth: none, clothings: wine and yellow, accessories: yayada cap, expression: happy, strength: influence, weakness: impatience ",f2957ded-022c-4b07-92c6-b345d4816a67,22144235b1ebb62a93c9c83e312c3cec08e1fd3a4d7ede7c3200d92df163374f
24,charles-the-exporter,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,"hair: none, eyes: grey, teeth: none, clothings: orange and blue, accessories: okpu ozo cap, expression: happy, strength: influential, weakness: incessant",09395e76-19ed-4852-8748-795ee7496a8e,591dc39540f3b448a287721bd5faa0c26ac35b260b971bd6cced91fe2e2aaabb
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,"hair: none, eyes: black, teeth: two white teeth with diastema, clothings :yellow dashiki, accessories: yori yori, expression: happy, strength: strong, weakness: promiscuous",4d94d4f7-9b69-4e43-9db1-1fe83df92857,f9b230aae1d9fee6605b7a16401db69df224e25d6c814c7ff05198a40bf9099d
26,saro-the-baller,saro the baller,saro is a baller and is always ready to turnup,male,"hair: orange afro, eyes: blue, teeth: two white teeth with diastema, clothings: black and yellow kente, accessories: none, expression: angry, strength: strong, weakness: insatiable",d35a7514-8996-42fb-a5f2-5a603ec679c5,ead00b7a032619055e0c2c0923a20c24fa95b681e3571cad855b879305c7b6ec
27,ade-omo-yoruba,ade omo yoruba,ade a yourba man takes pride in the yourba tribe,male,"hair: none, eyes: blue, teeth: complete white teeth and a gold tooth, clothings: black and yellow kente, accessories: wine cap, expression:happy, strength: hardworking, weakness: procrastination ",92984fa0-310b-4377-8a10-15965d044383,da08756157b81ea576ac9d0ecfe90646c39916d337c3d517d4760f2e3db80d4c
28,shola-cool-kid,shola cool kid,shola prefers to be alone because he hates stress,male,"hair: none, eyes: none, teeth: none clothings: yellow t-shirt and blue dongaris, accessories: red facecap, expression: playful, strength: fun, weakness: playful",3ac5c186-bc14-4eb6-8567-cc818465a64f,57c467d957102477f304301d1721082bc6df28bb0c150159299dd0594877be17
29,charlie-the-smoker,charlie the smoker,charlie uses smoking as a coping mechanism,male,"hair: none, eyes: black, teeth: none, clothings: black shirt with lion prints, accessories: blue cap, expression: happy, strength: nice, weakness: gullible",71a0aa22-d111-43b7-8484-43d87310bc42,24e2ee1c5db825aeffca48f4c5739854aeb023cbf0a54ec35dd6073a5c9cd64f
30,femi-the-badguy,femi the badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,"hair: orange, eyes: black, teeth: none, clothings: white t-shirt and blue dongaris, accessories: smoking pipe, expression: unbothered, strength: fearless, weakness: intolerance",e493e3fb-a8a0-455a-854f-0f6474bbc69f,c8ebf67cf239006b8c656ca4988c83956c2b3c08fc44bb890d1e598e5282a566
31,sinzu-money,sinzu money,sinzu loves spending money on flashy things,male,"hair: none, eyes: blue, teeth: white complete teeth and a brown tooth, clothings: purple and yellow kaftan, accessories: green-stripped fila cap, expression: strength, strength: generous, weakness: aggressive ",942f8347-9932-4331-bd15-d0f3a048b54f,3b0ed92a6e4beeaf784aa54d79c24acda904f878841bd477b4963608fba8f386
32,obinna-the-palmwine tapper,obinna the palmwine tapper,obinna taps palmwine for a living,male,"hair: none, eyes: black, teeth: none, clothings: yellow, black and a touch of pink ankara, accessories: cap, expression: happy, strength: contentment, weakness: naive",0f1af056-2548-4407-bed4-abc11deae05d,3a70f159946ab94b105a14c8d92a3327da3e493b450583b2fd48cd73f4d6b962
33,aminu-maikudi,aminu maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,"hair: none, eyes: black, teeth: none, clothings: maroon and yellow agbada, accessories: cap, expression: unbothered, strength: confidence, weakness: selfishness",0129e7a5-e3d0-4675-92d0-1a1e55d11612,b975a6f5bc8f0d673f0ce5657029a634a62b9e251030e234bb64d75d3a30c3f3
34,sabinus-the-town crier,sabinus the town crier,sabinus delivers messages to his town people,male,"hair: none, eyes: black, teeth: two white teeth with diastema, clothings: orange ankara with touches of blue, accessories: cap, expression: happy, strength: dexterity, weakness: impatience",01d4ce96-818e-44b1-8813-68a7d34b35ba,cb4ec395d89575691f6b41a4d5071f535beefb73bbb935848ed4cae1efb11a25
35,adisa-ibadan,adisa ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,"hair: none, eyes: black, teeth: none, clothings: kente accessories:abeti-aja cap, expression: mischievous, strength: independent, weakness: bossy",3a925f27-35f6-4dbf-9960-c6527fae5f3e,a292a8215757d80021a8e3f306fc20f34e445b3b05b65df9a80707195b1d2bf9
36,linda-the-navigator,linda the navigator,linda knows how to make a way for herself and people around her,female,"hair: blonde, eyes: none, teeth: none, clothings:multicolored, accessories: glasses, expression: confused, strength: creative, weakness: insecure",71f335a6-5a4f-4410-9cea-179336f0e498,82e07e65ada2c5502f236c960e88c9cc7621da8e33bebb78cc9ff5c2abfc74d0
37,kemi-the-iron lady,kemi the iron lady,kemi the strongest woman known to the town of  igbede people,female,"hair: ginger, eyes: none, teeth: none, clothings: ankara, accessories:glasses and a pipe, expression: cool, strength: disciplined, weakness: perfectionist ",35b11a31-5b92-49f4-8fb1-30f255d22054,6461b5e6f0e97a58acb7581ba9ff1fdcc783c0f189a97b9cddd17c96f5c733cf
38,mercy-the-sassy lady,mercy the sassy lady,mercy only care about spending her father's money and treats people like trash,female,"hair: brown, eyes: none, teeth:none, clothings: ankara, accessories: glasses, expression: sassy, strenght: creative, weakness: sensitive",7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,87a565cd43ef87a036b355738dec09ba031acd0da42d97815334ca1b6ce5e682
39,sandra-money,sandra money,sandra likes getting and spending money,female,"hair: brown, eyes: none, teeth:none, clothings:yellow and black, accessories: glasses, expression: confused, strength: brave, weakness: overthinker",1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,4a98012ce01a0a67bc739889fa4d6dfad7218a9e7c228aaaff1fe2fb44a893d1
40,bimpe-the-fashionista,bimpe the fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,"hair: blonde, eyes: none, teeth:gap teeth, clothings: black cold shoulder shirt, accessories: glasses, expression: shocked, strength: intelligent, weakness: procrastination",92b548b7-998b-46b6-8198-80d407209483,e8d79fdd376fc68c757b6dfb17d40aaa6fd31ad70f436f286038071a9a20d722
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,Female,Hair: blue. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,3344a73c-f15e-4afd-a1b2-3199e27eb08f,b0ed449116e7fb34f0c115694d5b4a8a7ab7f8dea0d97cce4fe0e730faa497a4
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,Female,Hair: blue. Eyes:none . Teeth: gap. Clothing: ankara . Accessories:chain . Expression: grinning. Strength:team player . Weakness:money.,4f31fd99-4918-42a9-a112-fa60ef36d5c6,a8b671dd9daed6550b000873de55f7fc809cf4b0be45b22c2e1e4edb43f32269
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,Female,Hair: ginger. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:earings . Expression: frown. Strength:brave . Weakness:men,5e1105d9-e485-462d-a5bf-1eb931976b13,b56dcbaca5c678b9f369483dce0e551a4dba403a7b36b05d7ee62d284cbec3d8
44,flora-burger- eater,flora burger eater,she loves eating burgers,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:height,054dffd1-cdff-417b-b6c2-a679dabd087b,c2733dec6eac03b53acd4ce58ef5a7992eb72b3379553c9bfc94dc23492ec022
45,jessie-lord-rings,jessie lord rings,she seeks her 'precious',Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:spices,caacabe1-0abc-43af-92e2-2231248bff93,23ec1ebdf1911ae4952a8bac16f6021dd62256871defd5a8bac7d2cd8291d59a
46,pinky-monky-ponk,pinky monky ponk,she love to dance the honky tonk,Female,Hair: white. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:assertive . Weakness:water,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,4bdc4163628d396cc5f2df034a1ea95ed489ba880b6a14145541b2decb7317e6
47,wanjiru-hippie-glitter,wanjiru hippie glitter,a hippie that loves her glitters,Female,Hair: maroon. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: none. Strength:loveble. Weakness:shy around people,683f0d27-3cb4-4948-b1b5-09f10bee575a,b258b2c22fd9603f236b7e84a4b845d03d7dd2aaadf2ad38571db7dbf41dd7d1
48,njoki-binary-coder,njoki binary coder,she codes with the best and tops the set,Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:goodlistener,Weakness:height.",9b59bdb4-0c6c-4107-9d72-6d38d308edb4,280dfff86c1b3b59b3cb3e61e4796978ef27bd38bf8f5940e43465f0b2a61ec5
49,wangu-calaba-hustler,wangu calaba hustler,she's a mean hustler so be careful,Female,Hair: green. Eyes:brown . Teeth: fangs . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:spider,67f7da93-3925-4def-b660-58f558c14a19,a8f997bab46ff70f62fd7899e175d5a6f2b39ec55682768fe08514080c1a29e0
50,lulu-dey-kpako,lulu dey kpako,she's as skinny as she is beautiful,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:water,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,6450fb9ddb12f001fd53ed3a042041625e4520b97cbb3440bb756a80e5fa1d05
51,kiki-cala-flier,kiki cala flier,she flies first class and gets the best deals,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:coackroaches,d24aefff-c9fc-4ea9-a7cf-1b741076c822,c38030c9cd5e71e10b5301367b7fad2083f01dc2bd556e952114da877bfb5248
52,purity-nft -investor,purity nft investor,she is an angel investor looking for the next big thing,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:,ee86ef77-4793-411a-88d3-ea54d84f6b24,1971f0f619c66238812337e8f3ed9a31a22f5aa7119b36f377509070fd7da2b0
53,june-binary-monk,june binary monk,she has a twin thats from Tibet ,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,102c4cdb-f812-44fd-bf47-5065284c6075,3015d5d4548bce191334dadde5f08a7b188209d8fc40a3fd788caab4749753ac
54,aisha-crows-damsel,aisha crows damsel,she is always a damsel in distress,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,c4071af3-b49e-4ad6-898b-7828f90465fb,3748f566ca8b0c07e35b717740b93b0f949939ef639193bde71c70050fb5ae72
55,bobo-crypto-lovely,bobo crypto lovely,she is a crpto guru you can trust all through,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,427ea0f5-30a3-4d70-a5bd-a6106409b83c,49e61258b19a2de40aff9bebe81385dbff8ee65937fcce7103772c0ec792b812
56,nell-light -embrace,nell light embrace,she is an empath; ready with a kind word or hug,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,9dfe30b4-c71a-471c-8091-f5c4a238eed8,68f8ec9ce3d15d7551d1a6747446bfb54582d82da202a70d7e73ac5341b1e315
57,rachel-mood-silent,rachel mood silent,"introvert  to the core, a mysterious lady",Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,11450acd-f0d7-406f-bc18-bdb680404845,c53c917e837a012c7f64247177644a2f4dfccb54e49f83d43c608c2935d80abc
58,nana-reflector-agent,nana reflector agent,she loves her chrome fashion stye,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,63bda633-bfca-4b28-823f-7772936b4103,c376d7f48025e696f908a86a9d2e7812364f60d13f5cf795f968b1944de1a8f6
59,bree-busy-gossip,bree busy gossip,"never wisper your secrets to her, except you want the world to know",Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:clusterphobic,4f5898d9-fc99-4053-a56c-b2ec1ef41347,bb74c8567653521595baf892f6b8b9352b7cf3008b6bec4d17febddda3a913dd
60,jude-shadow-fighter,jude shadow fighter,"a ninja warrior, the last samurai standing",Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:fire,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,23f8d847dc2d62a11828c240349f3d5b1721d3ab4b458bc406b6d94e3062e71e
61,toy-soldier,toy soldier,a man stronger than an army,male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: happy, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,42f297cdb3b8a3f647aed9811817cd7f97835faeec3174d92f7dec825c69faca
62,pipey-rivers,pipey rivers,a man who loves the water so much and fixes its path,male,"hair:bald, eyes: opened, teeth:none, clothing: overall, accessories: nose mask, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,b09e2443becb61b2ecc24a8e7376cd831555cd5d4c3ceac2a041286a7a03b2f4
63,phiri-of-zambia,phiri of zambia,an african woman with strength and beauty,female,"hair: two purple bun, eyes:nose, teeth: none, clothing: adire, accessories: sunglasses, expression: jiggy, strengths: free spirit, weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,6331e802d56f92eb98dc4ea7ed0cce672bf12593f733e7294324431599b18afe
64,patrick-of-bikinibottom,patrick of bikinibottom,a white man who loves the African culture and associates with their dressing,male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: confused, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,1a5366e69b86d27e46a2a881a05ec61dd958713789a44fea5698bf0fcaf1ee9d
65,nobuhle-of-zulu,nobuhle of zulu,a woman well endowed with beauty,female,"hair: brown bun, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses, expression: astonished, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,c2da261c86b3a2fcf7db667d640f2a3974c072161ca2b4837996091ab2302f12
66,nkosazana-of-xhosa,nkosazana of xhosa,an african princess always proud of her culture,female,"hair: ginger afro, eyes:none, teeth: gap teeth, clothing:umbaco, accessories: sunglasses, expression: fufilled, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,fa4831cb6fcfde8c6625179831ee30b929386f7503ffcf0681dfd9d383fda124
67,mandla-of-zulu,mandla of zulu,a simple and an introvert who keeps to himself,male,"hair: bald, eyes: opened, teeth: none, clothing: eshowe, accessories: nose mask, expression: irritated, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,0816f56355e987e5e316663e6547e693865fa4fd2f678e38f24cdd155b98a933
68,john-doe,john doe,a principled guy who is conscious of his health and ensures protection from infection,male,"hair: bald, eyes: opened, teeth: none, clothing: ankara, accessories: nose mask, expressions: cold strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,68f73843cbd22fcacac66f572a17a01479cb24ac00cb315e625e16ec39c23f85
69,ghost-of-power,ghost of power,a woman stronger than ten men combined,female,"hair: black tied with scalf, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses and pipe, espression: ruthless, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,a6e3ce1440a5768e0baab98b0779a5086af4ccb527679f5dacd5dd924c75dec8
70,freida,freida,a man who is always peaceful,male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: calm, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,db1369957b1dbde1053c33f0319aae02543c52910b834ffa04589ed52ec601e6
71,flamboyant-tree,flamboyant tree,beautiful african woman,female,"hair: one bun dark brown, eyes: none, teeth: none, clothing: kente, accessories: sunglasses, expression: happy, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,ca2d8e64dd5e41a21b75d7d635fe62a3b47289bc846e84db5eaab6e8a494b4d6
72,david-of-accra,david of accra,a combatant who fights and defends his people,male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: angry, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,eb0f6287a61a03fe4f3e5d3a53687bf575bfe7b7cebc4775a9242dfd00d1d045
73,cally-lily,cally lily,a man who is a breath of fresh air,male,"hair: male, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: confused, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,76da7a046556d7324f3d8104df7666664d712050818b21f2ffb0a0d7c1380896
74,bubune-of-accra,bubune of accra,"a man with honor, always conscious of his health",male,"hair: bald, eyes: closed, teeth: none, clothing: kente, accessories: nose mask, expression: happy,  strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,4fbeca46c4e7159adb064901ce05ce1fd707dee6a3213cd2e33e5b9384e27a50
75,bediako-of-accra,bediako of accra,a strong man always ready to fight for what is right,male,"hair: bald, eyes: opened, teeth: none, clothing: balck with kente, accessories: nose mask, expression: suspicious,  strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,2b2ddf865394b418fe1647eafd5a9a7543d3eebc0dc57bdbce564e4ffe190a7d
76,avatar-aang,avatar aang,a man who is ready to save the world,male,"hair: bald, eyes: opened, teeth: none, clothing: kaftan, accessories: nose mask, expression: soothing, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,7ac2032d0f1c14f8c0a60d85451a452f80f45d9e30a98b6b9c024bcc29ee5560
77,argus-greek,argus greek,a man who you will always find on the look out ,male,"hair: bald, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: suspicious, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,6fd91b77e7774e9922afeb556654af263d7729949eae29f0c85351b21063c269
78,amahle-of-zulu,amahle of zulu,"A traditional man, feeling fulfilled",male,"hair: bald, eyes: closed, teeth: none, clothing: ankara print, accessories: nose mask, expression: excited, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,22b090833903a3ff75281d9f7012eac04d2b3587831e13e214121a6bf7f0f4af
79,agnar-ole,agnar ole,a man who feels like an outcast and always has a battle with his mind,male,"hair: bald, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: furious, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,fefb258c8c30e2f7a0a7d31f5888ee8216441978415cb98795836b2c997a1e29
80,adom-kulu,adom kulu,"a Ghanaian model, proud of his culture",male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: irritated,  strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,2bf649c86b2f412304ac85d7622357b097a3c289cbecb6c24af2ae045080db75
81,segun-baller,segun baller,a man who loves to party hard,male,"Hair: black, Eyes: black, Teeth: None, Clothing: kente, Accessories: glasses, Expression: Cool , Strength: Jovial, Weakness: Non-chalant. ",58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,d1ecc3fbfe8740e9529daf7a78cd47ade930ef974ad4fa3e123f7f7dd336d0d4
82,bolanle-pepper-dem,bolanle pepper dem,a money spender,male,"Hair: Bald, Eyes: Black, Teeth: None, Clothing: kente, Accessories: glasses, Expression: Proud, Strength: strong, Weakness: big spender, ",46966104-775b-4443-90bb-b35afd121653,f4622507d6e720ff61ea87ff655f5dedc0dce0ff7f56dbbce488cc91afa48164
